id,lat,lon
1704809609,37.1836873,-3.6020138
1720457984,37.1808972,-3.5895555
1728805945,37.1875547,-3.6141829
1733932492,37.1529503,-3.5981249
1733932493,37.1530265,-3.5988067
1738354001,37.1699351,-3.6071139
1755892491,37.1936175,-3.6064343
1755892492,37.1937362,-3.6061010
1757038210,37.1575005,-3.5985624
1782545067,37.1608267,-3.5927395
1782545075,37.1617155,-3.5931555
1782546204,37.1601278,-3.5948476
1782546205,37.1601033,-3.5946850
1809455447,37.1640353,-3.6023878
1828450094,37.1670201,-3.6056557
1828450096,37.1673155,-3.6058331
1841963715,37.1585519,-3.5909522
1841963720,37.1592598,-3.5914490
1874008719,37.1601232,-3.6079649
1887914404,37.1566544,-3.5944030
1887914405,37.1540673,-3.5935812
1887917963,37.1619369,-3.5942831
1887917964,37.1619547,-3.5927223
1897894616,37.1663670,-3.5948294
1897894620,37.1665443,-3.5949831
1897894623,37.1654295,-3.5944722
1897938277,37.1603321,-3.5948721
1919749250,37.1662076,-3.5836536
1930505257,37.1576032,-3.5886297
1941566904,37.1716311,-3.6030157
2020013362,37.1694048,-3.5979996
2022754160,37.1735989,-3.5998857
2055915287,37.1835628,-3.6043733
2068101822,37.1773972,-3.5899191
2068101824,37.1774188,-3.5892196
2068114267,37.1770981,-3.5892710
2068192059,37.1742781,-3.5870642
2068192062,37.1747469,-3.5887919
2068192065,37.1746407,-3.5888090
2068288728,37.1743641,-3.5851940
2068288793,37.1764077,-3.5851615
2068288804,37.1765290,-3.5848149
2080585548,37.1769513,-3.5892740
2080585556,37.1770959,-3.5890967
2080585559,37.1771004,-3.5894448
2080585588,37.1772427,-3.5892681
2141462576,37.1825979,-3.5936982
2141462580,37.1804281,-3.5967747
2141462589,37.1808897,-3.5949085
2141462591,37.1827193,-3.5931544
2141462592,37.1806792,-3.5972142
2141462593,37.1826008,-3.5930928
2141462594,37.1826719,-3.5935419
2141464300,37.1806971,-3.5969781
2141471874,37.1804348,-3.5966347
2188907336,37.1845671,-3.6064955
2188907337,37.1795985,-3.6095346
2188907341,37.1795622,-3.6091430
2188907348,37.1801734,-3.6088962
2188907349,37.1795665,-3.6097384
2188907354,37.1810944,-3.6097438
2188914115,37.1778066,-3.6071329
2188919677,37.1886594,-3.6049771
2194761679,37.1726001,-3.6042422
2201774897,37.1799456,-3.6087728
2209571307,37.1871978,-3.6161386
2255165171,37.1792243,-3.6107517
2255171480,37.1791794,-3.6108738
2255175412,37.1793686,-3.6107987
2255177988,37.1794188,-3.6106457
2255185478,37.1792275,-3.6111546
2266430316,37.1813542,-3.6151572
2276054856,37.1773662,-3.6049582
2276061074,37.1728673,-3.6039737
2279576308,37.1903350,-3.6083421
2290383761,37.1801888,-3.6031778
2318461698,37.1780772,-3.5936546
2318461699,37.1819223,-3.5832999
2318461700,37.1817598,-3.5854960
2318461701,37.1817223,-3.5871078
2318461702,37.1810662,-3.5863372
2318470365,37.1811764,-3.5892682
2432326437,37.1752239,-3.6002548
2432668550,37.1873279,-3.6112185
2501241886,37.1859789,-3.6076262
2522231061,37.1744697,-3.5951375
2539407960,37.1705798,-3.6058976
2539408720,37.1894114,-3.6274351
2559084828,37.1693024,-3.5977091
2566571911,37.1793207,-3.6019364
2585170902,37.1664574,-3.5855470
2641998293,37.1563931,-3.5920517
2646389668,37.1777389,-3.6089610
2661892253,37.1997481,-3.6056631
2734356002,37.1815224,-3.5853043
2835411098,37.1744182,-3.5843271
2835411099,37.1742305,-3.5844726
2844570665,37.1762808,-3.6003163
2844580247,37.1757687,-3.5963843
2857160715,37.1808915,-3.5989358
2883809104,37.1758769,-3.6010570
2883809105,37.1839924,-3.6031488
2883810803,37.1670400,-3.5999338
2883815501,37.1782080,-3.6077435
2883815602,37.1897997,-3.6008024
2888095276,37.1789014,-3.6011952
2888095277,37.1820295,-3.5840239
